Observation;Y-Kappa;ChipRate;BF-CMratio;BlowFlow;ChipLevel4;T-upperExt-2;T-lowerExt-2;UCZAA;WhiteFlow-4;AAWhiteSt-4;AA-Wood-4;ChipMoisture-4;SteamFlow-4;Lower-HeatT-3;Upper-HeatT-3;ChipMass-4;WeakLiquorF;BlackFlow-2;WeakWashF;SteamHeatF-3;T-Top-Chips-4;SulphidityL-4
2-07:00 ;22.4;15.1;76.5;1283.1;279.9;351.1;323.5;1.5;615;6.1;18;45.8;65.9;319.6;296.3;170.2;746;995.3;510.8;47.6;251.8;29.9
2-09:00 ;20.7;15.7;79.9;1254.9;245.5;353.4;325.3;1.5;652.4;6.1;18;46.2;69.6;320.9;296.9;179.4;826.9;994.8;503.4;52.2;251.3;29.7
2-11:00 ;18.9;13.6;91.9;1244.9;157.4;357.9;330.2;1.4;688.7;6.1;17.9;46.2;73;322.7;298.4;187.7;858.4;996;83.8;54.7;250.4;29.8
2-14:00 ;24.7;16.2;72.6;1231.4;332.5;350.9;322.8;1.5;564.9;6.1;17.8;44;60.2;319.6;296.8;159.6;670.3;1013.1;461.9;39.4;251.4;29.4
2-16:00 ;23.5;16.5;80.1;1246.8;198.2;350.5;323.5;1.5;596.5;6.2;17.8;44;65.6;319.2;296;153.1;843.7;1092.8;419.9;48.9;251.3;30.4
2-18:00 ;21.8;15.5;79.3;1228.5;204.7;352.3;323.7;1.4;670.2;6.2;17.8;46.3;70.7;320.3;297.6;182.8;833.7;1122.2;414.8;53.5;250.4;29.9
2-20:00 ;23.3;16.7;73.7;1233.7;303.9;353;323.5;1.5;624.2;6.2;17.8;45.1;68.1;321;297.5;177.2;766.8;1128.7;448.5;47.5;250.7;29.8
2-22:00 ;21.5;16.8;79;1237.8;285.9;353.6;324.5;1.4;621.9;6.2;17.8;47.5;68.8;321.2;296.6;176.5;852.1;1141.9;344.1;52;250.7;29.7
3-01:00 ;18.9;15.1;83.2;1245.6;106.1;362.7;330.2;1.5;676.1;6.2;17.8;46.3;71.3;324.4;297.7;186.2;707.3;1142.9;0;54;250.1;31
3-03:00 ;16.2;13.6;93.2;1199.5;145.9;360.1;325.1;1.4;665.9;6.2;17.8;46.4;70.2;323.6;299.1;185.1;846.1;1017.3;0;51;250.2;31.1
3-05:00 ;20.6;13.4;80.2;1218.9;311.8;356.5;327.7;1.3;602.7;6.3;17.8;46.3;65.6;321.8;296.8;169.5;744.9;1000;153.7;44.4;250.3;31.3
3-07:00 ;26.5;16.3;75.4;1229.2;358.3;352.9;325.7;1.4;531.2;6.2;17.8;45.8;59.2;320;296.2;149.1;701.3;1026.3;259.8;42.6;250.8;31.9
3-09:00 ;24.2;16.5;75.6;1244.7;270.5;355.7;328.2;1.5;611.1;6.2;17.9;46.8;70.5;321.6;297.2;171.8;845.3;1037.8;405.9;47.2;250.2;32
3-12:00 ;19.4;14.8;88.1;1246.5;277.3;357.5;330.7;1.4;638.5;6.2;17.3;48.5;74.8;323.2;299.3;183.1;824.2;1016.9;3.2;50.8;250.2;31.5
3-14:00 ;18.5;14.7;83.9;1249;313.8;356.7;330.8;1.3;591.2;6.2;17.1;47.7;71.5;322.3;296.8;171.4;1004.1;873.7;290.6;51.3;250.2;31.3
3-16:00 ;19.8;14.4;90.7;1257.8;342.4;355.1;329.3;1.4;585.4;6.2;17.9;47.1;67.4;321.5;296.9;162.2;900.7;976;1.3;48.4;249.5;31.1
3-18:00 ;19.3;14.4;88.7;1280.3;275.8;362.4;329.8;1.3;590.3;6.2;18;47.4;71.7;322.4;297.1;159.1;952.2;898.4;503.8;50.7;249;31.4
3-20:00 ;23.7;15.4;82.8;1277.8;342.9;364.5;328.4;1.5;576.2;6.2;18;47.1;66.4;321.4;296.7;158.4;969.7;893.2;389.1;47.4;249.5;31.6
3-23:00 ;21.6;15;87;1284.7;280.9;365;329.2;1.4;633.2;6.2;18.2;46.8;71;322;298.6;167.3;859.4;995.6;194.5;50.6;248.8;31.5
4-01:00 ;20.9;15.4;75.8;1277.8;327.2;363.9;329.1;1.4;629.8;6.2;18.2;47.5;71.6;321.5;297.1;170.6;867.3;1016;578;51.8;248.6;31
4-03:00 ;24.2;16.7;78.4;1287.6;344.7;362.8;328.9;1.6;606.1;6.2;18.2;48.1;71.3;321.2;297.4;167.1;940.1;1102.8;598.2;50.6;248.6;31.4
4-05:00 ;18;16.1;80;1289.3;66.1;367.4;332.3;1.4;686.3;6.2;18.3;48.6;75.1;322.4;295.4;178;930.4;1129.3;550.8;56.8;248.5;31.2
4-07:00 ;17.7;14.1;91.8;1291.7;167.9;367.2;332.2;1.4;671.1;6.2;18.2;48.6;74.6;322.9;297.1;175.2;949.3;1144.9;76.5;52.8;248.9;31
4-10:00 ;19.9;13.4;98.8;1293.9;332.5;364.5;328.6;1.3;586.2;6.2;18.2;49.1;71.2;321.6;299.5;157.9;910.2;942.1;0;46;249.4;31.5
4-12:00 ;22.8;14.8;77.9;1287;339.6;363.4;326;1.2;569.3;6.1;18.4;48.6;66.1;320.2;297.1;150.5;786.5;960.5;416.1;43.3;252;30.3
4-14:00 ;24;16.3;76.7;1262.3;329.8;362.4;325;1.5;563.3;6.1;18.4;48.5;66.7;319.5;296.1;151.7;859;999.1;453.7;43.6;254.1;30.2
4-16:00 ;17.8;16.6;78.4;1276.1;202.7;360.1;329.3;1.5;698.5;6.1;18.6;49.9;75.3;321.7;297.1;180.4;1017.3;1052.8;433.1;54.7;251.7;30.3
4-18:00 ;15.5;15.4;92.1;1290;124.7;357.6;326.7;1.6;685.1;6.1;18.6;50.7;76;319.6;296;163.1;764.7;1140.3;0;52.1;252.8;30.3
4-20:00 ;17.4;13.2;100.3;1301.7;241.5;359.9;328.6;1.4;690.2;6.2;18.6;48.8;73.8;321.3;298;156.1;863.7;918.1;0;50.9;252.1;30.5
4-22:00 ;20.6;13.8;88.8;1293.2;419;357.7;326.5;1.2;603.4;6.1;18.6;48.5;70.6;320.4;296.5;148.2;862.2;899.3;283.4;45.4;252.6;30.3
5-00:00 ;25.6;14.9;85;1289.2;373.7;358;326.8;1.3;568.1;6.2;18.6;48.3;63.7;320.8;296.5;147.1;860.4;1014.6;150;43.8;252.7;31.8
5-02:00 ;25.3;15.2;82;1280.8;312.9;358.9;327.6;1.3;615.6;6.1;18.7;48.8;72.7;321.2;296.9;164.7;965;1043.6;213.4;50;251.2;30.6
5-04:00 ;20.5;15.7;81.4;1288.8;317.1;360.8;327.9;1.4;652.6;6.2;18.8;48.7;72.3;321.1;297.3;169.2;1057.7;1059.2;202.1;51.9;250.9;30.8
5-06:00 ;17.9;15.7;83.5;1295.9;280;362.9;329.5;1.4;670.1;6.2;18.9;49.5;74.5;322.4;296.6;180.2;1066.5;1103.4;208;53.9;251;30.8
5-10:00 ;19.1;14.8;86.3;1280.6;345.5;363;327.4;1.4;662;6.2;19;48.4;71.6;322.2;297.4;162.7;1020.1;1091.1;235.3;51.5;251.5;30.7
5-13:00 ;21.6;15.2;83.8;1292.5;338.9;356.2;325.2;1.5;652.6;6.2;19.3;48.6;72.9;322.1;297.7;162.4;1074;1153.3;202;49.9;250.5;30.7
5-15:00 ;19.1;15.7;81.7;1290.6;239.6;359.4;325.4;1.5;681.4;6.2;19.5;48.3;73;322.4;295.6;171.3;985.1;1153.5;272.4;53.3;250.2;31
5-17:00 ;18.8;15.5;83.4;1297;257.4;358.9;327.3;1.5;683.3;6.2;19.5;47.4;71.4;322.2;296.4;171.5;1015.3;1161.7;279.2;54;250.3;30.6
5-19:00 ;17.9;15.8;82.2;1283;290.5;360.3;331.4;1.6;699.4;6.2;19.5;49;74.9;322.7;295.6;177.6;1004.1;1132.9;297.9;54.4;250.3;30.5
5-21:00 ;16.7;16.2;79.8;1286.3;274.5;359.7;330.5;1.6;691.9;6.1;19.5;48.5;73.9;322;294.9;171.3;971.9;1126.4;290;54.6;250.7;30.5
5-23:00 ;16.8;15.8;91.2;1288.7;351.8;359.4;331.1;1.6;690.6;6.2;19.3;48.8;73.3;322.2;295;172.7;949.3;1144.2;102;54.9;250.6;30.4
6-01:00 ;15.8;14.1;108.1;1292.7;262.8;361.1;330.8;1.5;700.6;6.2;19.3;49.1;74.5;322.5;293.9;179.7;1090.4;1048.5;115.9;55.4;250.5;31.4
6-03:00 ;18.4;11.8;87.9;1268.6;384.9;359.4;328.2;1.3;620.8;6.2;19.2;47.9;68.7;322.3;298.1;159.6;1013.3;985.2;0;46.8;251;31.6
6-05:00 ;23.2;16.1;81.2;1283.6;340;357.2;324.4;1.5;536.5;6.2;19.2;47.1;61;321.4;295.2;146.4;1012.1;1040.7;0;40.8;252.3;31.7
6-07:00 ;19.8;16.3;80.3;1290;197.7;358.3;325.1;1.5;628.1;6.1;19.3;47.7;67.4;321.2;293.3;160.6;1122.1;1121;309.6;55;250.7;30.8
6-09:00 ;19;15.9;82.6;1292.6;218.7;362;330.5;1.5;695.4;6.1;19.2;47.8;74.1;322.8;294.9;174.6;1132.2;1145.1;278.1;54.4;250.1;32.8
6-11:00 ;17.4;15.8;80.4;1284.1;63.9;361.2;330.1;1.6;704.2;6.2;19.1;47;72.7;322.7;295.1;175.5;1078.8;1134.4;281.9;53.4;250;30.3
6-13:00 ;18.7;15.8;82.3;1285.1;105.5;359.8;329.4;1.5;686.9;6.2;19.3;47.1;69.8;321.9;295.4;166.6;1036.7;1126.6;284.9;52.5;250;30.2
6-15:00 ;17.8;15.3;84.5;1295.8;101.1;359.1;330.3;1.6;688.8;6.1;19.2;47.7;71.9;321.8;294.7;175.3;985.7;1106.1;201.5;53.3;250.3;30.2
6-17:00 ;19.3;13.9;92.9;1294;215;358.5;330.2;1.5;684.9;6.1;19.2;48.1;72.9;321.8;295.4;173.2;1092.9;1102.8;182;52.4;250.3;30.3
6-18:00 ;16.7;14;92.4;1295.5;282.3;357.4;328.8;1.4;678;6.1;19.2;47;70.6;320.9;294.5;167;1037.5;1080.1;300.1;52;250;29.9
6-20:00 ;22.1;14;92.3;1297.9;347;354.6;326.1;1.4;619.8;6.1;19.1;46.1;65.8;319.8;296.4;152.5;970.4;1049.4;166.1;43.4;250.3;30.6
6-22:00 ;25.1;15.1;80;1281.1;343.2;354.9;325.3;1.4;618.3;6.2;19.1;47;59.8;320.1;295.6;157.6;901.1;1069.6;309.3;46.2;250.8;30.4
7-00:00 ;24.2;16.7;76.8;1280.5;267.2;355.9;327.2;1.7;621.7;6.1;19.2;48;64.7;320.4;295.8;159.7;900.7;1085.7;424.2;49;250.7;30.4
7-02:00 ;18.3;16.3;75.6;1234.3;158.6;358.1;330.2;1.6;700.1;6.1;19.3;48.3;73.4;320.5;293.9;177.3;863.7;1093.5;445;58;250.2;30.4
7-04:00 ;15.8;14.5;91.2;1243.1;169.6;359.8;332.6;1.6;731.4;6.1;19.3;48.5;74.1;321.8;293.5;183.5;746;1147.6;38.3;59.6;249.8;29.9
7-06:00 ;14.4;11.6;104.8;1244;198.1;361.4;333.6;1.5;717.3;6.1;19.2;48.4;74.9;323;294.5;185.2;846;970.2;84.7;56.7;250;30.5
7-08:00 ;19.9;12.1;98.7;1233.3;270.4;353.5;327;1.3;613.1;6.1;19.2;47.1;69;319.8;296.9;163.1;973.4;1003.9;41.1;49.7;251.2;30.2
7-19:00 ;20.8;13;94;1194.2;180.2;357.4;326.4;1.4;653.5;6.1;19.6;48.9;68.1;320.3;295.6;165.8;944.2;1112.3;0;53.4;248.7;29.8
7-21:00 ;22.2;12.3;91.2;1187;243.4;361.6;325.4;1.4;611.9;6.1;19.1;48.3;66.4;323.4;295.8;157.7;661;1118.7;259;50.8;249.3;30.4
7-23:00 ;24.8;14.3;78.9;1190.5;245.6;365.6;331.6;1.5;543.2;6.1;18;48;64.8;326.3;296.9;150.4;702.3;1118.4;415.1;44.3;249.6;30.6
8-01:00 ;23.1;13.6;85.7;1162.2;160.7;366.9;333.6;1.7;549.6;5.9;17.9;47.7;63.9;327.1;298.8;152.3;728.6;1227.8;414;51.3;250.5;30.3
8-03:00 ;17.8;14.4;83;1193.6;111.8;367.4;333.4;1.7;642.6;5.9;18;48.2;72.3;326.8;299.2;170.5;746.6;1246.7;486.6;52.1;251.6;30.3
8-06:00 ;16.9;14.2;101.5;1161.8;221;369.5;331.7;1.5;607.3;5.9;17.8;48.3;72.5;329.5;300.6;165.5;727.3;1254.3;304.6;51.7;251.6;29.9
8-08:00 ;21.4;15;87.3;1092.1;284.2;368.5;325.2;1.7;538.8;6;17.5;47.8;64.1;328.9;303.3;145.2;493.9;1249.3;307.8;43.3;252.9;29.4
8-11:00 ;16.5;11.9;98;1084.9;0;380.7;333.7;1.6;613.4;6;17.4;48.1;71.9;329.4;303.8;174.1;709.9;1251.4;261.5;63.3;248.8;30.3
8-17:00 ;19.2;14.2;85.4;1211.3;354.5;366.8;321.3;1.5;562;6.1;17.2;44.9;69.7;329.2;301.8;116.3;819.8;1247.4;282;50;248.4;30.2
8-19:00 ;24.1;14.2;91.2;1290.4;219.7;364.6;326.9;1.6;476.9;6.1;17.1;44.5;55.5;328.3;302.1;145.8;862.7;1301.7;134.7;53.5;251;30.1
8-22:00 ;22.3;13.2;81.1;1253.5;299.8;369.8;332.6;1.7;563;6.1;17.1;46.1;66.5;331.4;305.3;164.7;663.7;1293.7;375.3;52.6;251.8;29.9
9-00:00 ;18;14.9;83;1295.3;236.4;369.9;332.9;1.7;578.5;6.1;17.1;45.6;68.4;331.9;305.7;170.5;729.2;1291.6;493.1;50.6;251.7;30.1
9-02:00 ;18.5;16.4;84.7;1293.3;167.8;368.2;332.6;1.7;606.3;6.1;17.1;46.9;68;329.7;304.6;176.2;783;1293.5;490.5;56.7;251.6;30.5
9-04:00 ;16.3;15.4;84;1291;174.1;368.7;329.7;1.6;606.7;6.1;17.1;46.6;71.9;329.4;303.5;165.2;858.4;1319.8;480.6;57.6;251.5;30.3
9-06:00 ;16.2;14.5;89.6;1301.6;267.8;369.9;327.7;1.6;593.8;6.1;17;47.6;73.2;331.1;305.4;174.1;931.8;1319;375.5;54.8;251.2;30.1
9-08:00 ;16.9;14;92.8;1284.8;218.6;368.6;325.1;1.5;588.7;6.2;16.9;47.8;72.6;330.3;305.2;174.5;894.8;1318.7;149.1;53.1;251.7;30.6
9-09:00 ;20.2;13.8;93.6;1296.6;294.9;369.1;325.2;1.6;568.2;6.2;16.9;46.3;71.2;330.9;305.9;173.9;806.4;1320.3;134.6;49;252.1;30.2
9-11:00 ;24.1;15;87.8;1280.9;257.2;368.7;321.3;1.6;549;6.2;16.9;45.3;64.4;330.9;304.8;162;868.3;1321.4;115.8;49.7;252.4;30.2
9-13:00 ;20.6;14.1;91.8;1297.5;256.1;375;321.8;1.5;535.4;6.2;16.9;45.5;66.2;330;303.8;164.3;879.4;1319.6;142.5;50.3;252.5;30.4
9-16:00 ;21.8;14.5;89.7;1297.8;268.7;385.5;324.4;1.6;553.4;6.1;16.9;46.2;69.5;330.3;304.1;174;926;1319.7;334.1;52.2;252.4;30
9-19:00 ;19.8;12.6;94.4;1184.1;297.1;399.1;319.6;1.5;570.1;6.2;16.9;44.2;67.7;330.8;304.6;165.2;907;1311.2;25.5;50.5;252.1;30.7
9-21:00 ;24.3;13.1;88.9;1192.9;318;364.1;308.6;1.5;504.9;6.1;16.8;43.7;61.1;327.3;304.4;147.6;804.4;1320.2;0;43.7;253.2;31.1
9-23:00 ;23.2;13.9;89.2;1202.5;236.9;352.6;315.4;1.5;500.1;6.1;16.9;43.4;59;327.8;303.6;143;881.7;1320.2;174.3;45.8;253.2;31.6
10-01:00;24.8;13.8;85.3;1177.6;237;359.3;319;1.5;533.5;6.1;16.9;44.7;64;328.1;303.4;156.5;812.3;1319.8;301.6;47.2;252.5;31.3
10-03:00;23.2;13.4;87;1166.5;253.7;362.5;328.1;1.5;538.1;6.1;16.9;45;65.9;329.8;303.8;160.5;856;1319;305.3;48;252.5;31
10-06:00;22.1;12.6;94.5;1186.7;256.1;360.1;314.6;1.5;534;6;17;45.4;64;329.9;304.3;156;979.4;1345.6;358.1;45.5;252.6;31.4
10-09:00;23.9;13.1;94.7;1204;244;359.6;310.8;1.5;507.7;6.1;17;45.4;60.5;329.8;303.5;145.1;884.7;1344.6;263.6;46.4;253.1;30.9
10-11:00;22.9;13.1;90.9;1186.5;225.8;360.3;316.2;1.5;517.3;6;17.1;45.4;60;329.9;303.9;146.7;898.7;1344.3;439.6;46.1;253;30.8
10-13:00;23.7;12.5;94.9;1184.9;284.9;360.7;315.1;1.5;520.7;6.1;17.2;45.3;61.7;329.9;303.7;144.9;973.8;1346;439.4;44.2;252.8;30.9
10-16:00;23.8;12.7;93.5;1178.3;277;347.3;311;1.5;514;6.1;17.2;46;61.1;330.1;304;148.2;1027.2;1357.3;381.6;45.3;252.9;30.9
10-18:00;21.4;13.2;94.9;1215.8;251.1;345.5;308.9;1.5;520.2;6.1;17.2;46;60.4;329.9;304.1;147.9;972.2;1362.2;219.3;45.4;252.8;31.2
10-20:00;21.3;13.5;87.9;1242.3;243.3;346.4;311.8;1.5;511.2;6.1;17.2;46.1;60.7;329.8;303.9;145.7;933;1364.4;392.4;47.3;252.8;30.6
10-22:00;21.3;14.3;89.8;1283.3;271.8;349.3;319;1.6;525.6;6.1;17.2;46.1;61.8;332.3;307.4;146.2;986;1375.2;392.9;48.9;252.7;31.1
11-00:00;20.1;14.3;90.3;1288.3;227.2;349.9;319;1.6;563.8;6.1;17.3;46.5;68.7;333.1;309.4;158.2;1050.8;1392.9;220.7;52.2;252.4;31.4
11-03:00;20.4;14.2;90.1;1284.5;387.4;351.4;321.7;1.5;572.5;6.2;17.3;46.6;69.4;333.2;309.7;160.5;1005.4;1370.6;424.3;48.6;252.1;31.1
11-05:00;21.2;14.2;91.9;1286.7;346.4;349.5;318.3;1.6;551.4;6.2;17.3;47;68.1;332.2;308.9;158.4;1038.2;1366.6;278.1;50.5;252.5;30.5
11-09:00;23.2;15.5;82.4;1280.5;334.2;348.8;316.9;1.6;558.7;6.2;17.3;46.7;68.3;331.5;309;156.6;859.6;1368;300.4;49.8;252.6;30.5
11-11:00;22.7;15.5;83;1288;306.9;350.2;322.5;1.6;568.8;6.2;17.3;46.4;67.7;331.9;309.3;160.1;910;1381.4;441.9;51.5;252.2;29.6
11-14:00;21.3;11.4;84.2;981.9;342.9;352.3;322.3;1.6;592.5;6.2;17.2;47.4;73.1;333.6;310.5;171;940.9;1375.2;189.5;52.6;251.8;30.4
11-16:00;24.4;11.2;80.5;954.1;365.6;342.4;302.7;1.6;546.5;6.2;17.2;47.4;68.8;328.6;306.2;157;734.9;1385;143.4;39.7;252.5;30.1
11-18:00;20.4;11;100;998.2;302.3;344.3;305.1;1.6;471.5;6.3;17.2;46.9;57.3;330.3;305;136.4;1067.3;1347;237.3;40.7;252.5;30.4
11-20:00;18.8;11;94.5;1036;314.3;340.3;287.7;1.5;473;6.3;17.2;47;56.4;330.2;305.3;136.2;922.4;1356.4;111.7;41.3;252.5;30.4
11-22:00;21.2;11.3;92.2;1041;388.5;341.5;297.2;1.5;405.1;6.3;17.2;47.4;51.2;328.3;305.8;113.9;838.1;1292.6;353.6;38.6;253.2;30.6
12-01:00;19.9;11.3;87.4;1033.6;369.4;343.5;302.4;1.6;452.7;6.3;17.3;47.8;56;330.8;308.8;128.7;783.4;1293.1;390;41.6;252.4;30.7
12-03:00;22;11.9;93.2;1171.2;366.8;345.3;310.1;1.5;428.2;6.3;17.3;48.2;52.5;330.6;309.2;122;816;1294.9;391.6;42.1;253.2;30.2
12-05:00;19;12.4;92.9;1272;316.2;345.8;307.8;1.6;469;6.3;17.3;46.8;60.3;330;308.1;137.7;865.7;1292.2;391.6;44.3;253.3;30.3
12-07:00;20.5;13.4;97.7;1304.6;377.7;347.7;313.1;1.5;496.5;6.3;17.3;46.9;60.1;332.6;308.6;141.1;997.9;1334.7;389.5;46.2;252.4;30.4
12-09:00;20.9;15.2;84.6;1283.7;339.4;354.8;311;1.6;532.4;6.3;17.3;47.1;65.6;332.9;307.6;145.3;832.9;1344.7;388.9;49.5;251.8;30.3
